longitude,latitude,year,count
116.5,-22.5,2023.0,10
116.5,-22.5,2024.0,2
116.5,-22.0,2022.0,3
116.5,-22.0,2023.0,22
116.5,-22.0,2024.0,4
116.5,-21.5,2022.0,15
116.5,-21.5,2024.0,1
116.5,-21.0,2022.0,9
116.5,-21.0,2023.0,34
117.0,-35.0,2020.0,2
117.0,-35.0,2022.0,7
117.0,-35.0,2023.0,10
117.0,-35.0,2024.0,29
117.0,-34.5,2021.0,1
117.0,-34.5,2022.0,29
117.0,-34.5,2023.0,1
117.0,-34.5,2024.0,2
117.0,-34.0,2021.0,2
117.0,-34.0,2022.0,3
117.0,-34.0,2023.0,2
117.0,-34.0,2024.0,2
117.0,-33.5,2021.0,2
117.0,-33.5,2022.0,2
117.0,-33.0,2020.0,2
117.0,-33.0,2021.0,1
117.0,-33.0,2022.0,3
117.0,-33.0,2023.0,1
117.0,-33.0,2024.0,5
117.0,-32.5,2022.0,5
117.0,-32.5,2023.0,1
117.0,-32.0,2020.0,2
117.0,-32.0,2022.0,14
117.0,-32.0,2023.0,6
117.0,-32.0,2024.0,18
117.0,-31.5,2021.0,1
117.0,-31.5,2022.0,2
117.0,-31.5,2023.0,5
117.0,-31.5,2024.0,5
117.0,-31.0,2022.0,3
117.0,-31.0,2023.0,5
117.0,-30.5,2021.0,2
117.0,-30.5,2022.0,1
117.0,-30.5,2023.0,5
117.0,-22.5,2021.0,1
117.0,-22.5,2022.0,1
117.0,-22.5,2024.0,2
117.0,-22.0,2021.0,3
117.0,-22.0,2022.0,3
117.0,-21.5,2021.0,8
117.0,-21.5,2022.0,25
117.0,-21.5,2023.0,11
117.0,-21.5,2024.0,1
117.0,-21.0,2021.0,14
117.0,-21.0,2022.0,7
117.0,-21.0,2024.0,4
117.0,-20.5,2020.0,1
117.0,-20.5,2021.0,1
117.5,-35.0,2023.0,1
117.5,-35.0,2024.0,5
117.5,-34.5,2021.0,3
117.5,-34.5,2022.0,2
117.5,-34.5,2023.0,7
117.5,-34.5,2024.0,2
117.5,-34.0,2021.0,1
117.5,-34.0,2023.0,1
117.5,-34.0,2024.0,1
117.5,-33.5,2020.0,3
117.5,-33.5,2021.0,4
117.5,-33.5,2022.0,5
117.5,-33.0,2021.0,3
117.5,-33.0,2022.0,2
117.5,-33.0,2023.0,2
117.5,-32.5,2020.0,1
117.5,-32.5,2022.0,7
117.5,-32.5,2023.0,2
117.5,-32.5,2024.0,3
117.5,-32.0,2021.0,1
117.5,-32.0,2022.0,17
117.5,-32.0,2023.0,4
117.5,-32.0,2024.0,3
117.5,-31.5,2022.0,5
117.5,-31.5,2023.0,1
117.5,-31.5,2024.0,2
117.5,-31.0,2022.0,1
117.5,-30.5,2023.0,1
117.5,-29.5,2023.0,1
117.5,-23.0,2020.0,4
117.5,-23.0,2023.0,1
117.5,-22.5,2023.0,1
117.5,-22.0,2021.0,7
117.5,-22.0,2022.0,10
117.5,-22.0,2023.0,5
117.5,-21.5,2021.0,1
117.5,-21.5,2022.0,3
117.5,-21.5,2023.0,13
117.5,-21.0,2020.0,2
117.5,-21.0,2021.0,34
117.5,-21.0,2022.0,1
118.0,-35.0,2020.0,1
118.0,-35.0,2022.0,1
118.0,-35.0,2023.0,5
118.0,-34.5,2023.0,3
118.0,-33.5,2022.0,1
118.0,-33.5,2023.0,1
118.0,-33.0,2020.0,1
118.0,-33.0,2022.0,1
118.0,-33.0,2023.0,2
118.0,-32.5,2020.0,1
118.0,-32.5,2022.0,5
118.0,-32.5,2023.0,10
118.0,-32.5,2024.0,1
118.0,-32.0,2022.0,8
118.0,-32.0,2024.0,1
118.0,-31.5,2023.0,1
118.0,-31.0,2022.0,1
118.0,-31.0,2023.0,5
118.0,-30.0,2023.0,25
118.0,-23.0,2024.0,2
118.0,-22.5,2020.0,1
118.0,-22.5,2021.0,21
118.0,-22.0,2023.0,5
118.0,-22.0,2024.0,7
118.0,-21.5,2021.0,4
118.0,-21.5,2023.0,18
118.0,-21.5,2024.0,6
118.0,-21.0,2020.0,1
118.0,-21.0,2021.0,19
118.0,-21.0,2023.0,8
118.0,-20.5,2022.0,26
118.0,-20.5,2024.0,1
118.5,-35.0,2020.0,1
118.5,-34.5,2020.0,4
118.5,-34.5,2022.0,1
118.5,-34.5,2023.0,4
118.5,-34.5,2024.0,24
118.5,-34.0,2022.0,1
118.5,-32.5,2023.0,1
118.5,-32.5,2024.0,1
118.5,-29.5,2022.0,10
118.5,-29.5,2023.0,8
118.5,-29.5,2024.0,8
118.5,-24.0,2020.0,8
118.5,-23.0,2022.0,7
118.5,-23.0,2023.0,2
118.5,-23.0,2024.0,2
118.5,-22.5,2020.0,1
118.5,-22.5,2021.0,1
118.5,-22.5,2024.0,2
118.5,-22.0,2020.0,4
118.5,-22.0,2021.0,2
118.5,-22.0,2023.0,4
118.5,-22.0,2024.0,4
118.5,-21.5,2020.0,3
118.5,-21.5,2021.0,43
118.5,-21.5,2022.0,9
118.5,-21.5,2023.0,2
118.5,-21.5,2024.0,9
118.5,-21.0,2020.0,20
118.5,-21.0,2021.0,25
118.5,-21.0,2022.0,8
118.5,-21.0,2023.0,9
118.5,-20.5,2020.0,6
118.5,-20.5,2021.0,12
118.5,-20.5,2022.0,2
118.5,-20.5,2023.0,4
118.5,-20.5,2024.0,1
119.0,-34.5,2020.0,2
119.0,-34.5,2022.0,14
119.0,-34.0,2022.0,4
119.0,-34.0,2024.0,2
119.0,-33.5,2024.0,2
119.0,-33.0,2024.0,4
119.0,-32.5,2023.0,2
119.0,-32.5,2024.0,2
119.0,-32.0,2022.0,3
119.0,-32.0,2023.0,1
119.0,-31.5,2023.0,1
119.0,-31.5,2024.0,1
119.0,-30.5,2023.0,4
119.0,-29.0,2022.0,6
119.0,-28.0,2024.0,4
119.0,-23.0,2021.0,1
119.0,-22.5,2020.0,1
119.0,-22.5,2021.0,1
