Entity,Code,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
Hungary,HUN,218.82259,172.17143,161.21739,175.23077,148.4,171.02942,131.02,187.61363,161.91304,146.09525,219.28432,137.83333,224.1875,195.38235,207.06383
Iceland,ISL,58.0,82.333336,571.4773,192.23077,71.0,,60.75,66.0,101.0,943.375,234.05,1049.5,935.81396,384.1111,81.0
India,IND,376.746,349.17685,372.1316,347.3597,380.18625,360.14502,325.2062,352.8193,350.23593,400.2887,343.86832,336.99432,324.0747,382.7653,472.2506
Indonesia,IDN,354.437,381.6528,418.78088,453.0081,329.5269,296.80035,296.69305,460.02905,296.63876,277.06573,281.51636,372.0597,298.17728,364.16513,401.68167
Iran,IRN,226.24048,217.46365,232.78134,229.60939,248.88078,252.80952,224.58974,255.32945,272.7597,230.37585,218.00966,242.03586,249.43494,285.07193,290.7925
Iraq,IRQ,238.36705,229.42148,241.11232,326.52106,279.5,241.32475,265.5946,289.7718,269.43176,243.99939,245.21313,270.559,255.22775,324.29752,277.296
Ireland,IRL,238.92308,268.23077,179.66667,292.3729,183.14285,317.03333,226.57895,193.5,243.8125,265.5,234.52942,190.28572,205.0,252.32143,284.75
Israel,ISR,230.13333,437.0,329.3,294.08,313.25,257.83334,195.26666,260.9655,315.65216,260.92105,214.66667,237.55556,273.92,256.2143,219.0
Italy,ITA,274.00388,250.2168,237.67706,235.7829,246.08421,316.74445,227.80298,238.69897,244.99773,336.44293,256.51782,291.1709,253.0405,266.58853,315.84375
Jamaica,JAM,217.51724,220.19048,303.78787,349.0,223.66667,263.14285,238.97058,239.34375,234.68292,250.64706,255.64706,213.78947,266.08694,186.72414,153.1579
Japan,JPN,310.4,333.56,544.06665,462.16666,323.0,261.22223,481.77777,367.35294,447.1081,242.48,485.6842,285.0,288.57144,420.68182,550.7963
Jordan,JOR,,206.5,,121.181816,148.0,115.333336,58.333332,91.5,184.0,158.75,172.2,53.8,88.25,103.28571,266.0
Kazakhstan,KAZ,385.87292,348.43805,439.0761,505.17758,365.29822,559.7955,409.32263,498.183,404.06232,427.98724,375.80936,359.5636,319.31796,311.63092,422.1293
Kenya,KEN,536.4252,433.1398,363.07132,359.18512,338.92908,318.71204,267.6154,412.49384,436.29553,405.1551,330.42355,346.92856,377.96484,493.6593,372.59006
Kosovo,OWID_KOS,320.16934,206.69444,235.84616,268.30304,211.85715,272.02,186.0,286.12988,307.14584,230.02777,189.21875,190.26315,234.03636,365.44644,247.5
Kuwait,KWT,189.0,174.0,177.57143,176.8,290.0,177.33333,207.66667,251.63637,278.25,200.0,160.2,,177.33333,,
Kyrgyzstan,KGZ,284.5821,255.04082,237.48215,317.42856,219.06522,274.66,220.4557,228.82812,179.57446,198.02632,168.32259,158.41176,189.0,249.18367,208.88235
Laos,LAO,472.529,449.1452,482.74078,487.0445,457.09613,458.37955,462.34518,424.97025,463.58112,407.4892,376.85483,471.0995,412.4276,383.8993,666.58276
Latvia,LVA,138.66667,156.0,152.5,143.8,141.25,149.33333,306.26666,184.7,207.0,238.0,168.16667,338.0,157.0,191.0,425.0
Lebanon,LBN,144.0,212.3158,439.0,166.0,182.4375,195.63637,157.33333,168.58333,253.04762,246.84,229.16667,260.27274,213.85106,275.18182,
Lesotho,LSO,262.45456,320.72058,307.41537,236.08861,257.16666,242.6,231.45,309.1075,259.42426,246.33664,280.4023,260.19107,288.0431,233.93549,
Liberia,LBR,340.39352,328.4304,342.63715,380.48508,312.73685,344.7716,322.00876,342.33698,314.20667,279.72217,297.36856,318.5576,311.06317,310.70657,400.72025
Libya,LBY,257.3158,322.25,190.3125,214.89473,220.72728,243.26315,203.42308,185.21739,259.72415,258.92307,229.16667,183.92308,217.61539,197.125,134.4
Lithuania,LTU,168.375,135.8,142.44444,189.0,112.0,191.0,164.4,203.85715,161.5,133.25,119.0,151.2,133.2,164.33333,188.5
Madagascar,MDG,302.175,324.29044,307.0921,315.27652,312.5489,307.75253,258.586,306.01602,311.2455,283.94543,303.10538,301.40637,303.51978,352.71893,359.76028
Malawi,MWI,377.49545,342.7247,349.04855,346.60327,366.66278,337.86124,299.71384,341.75922,355.49844,326.5232,352.6098,352.38153,356.7445,466.7563,262.16666
Malaysia,MYS,330.12674,307.29462,346.03592,312.2,343.64713,262.3846,283.149,305.3354,273.728,271.59885,227.67961,246.8024,332.41177,275.73294,345.52606
Mali,MLI,374.9045,362.6133,343.7269,358.1141,355.05258,357.92294,313.89737,353.827,368.12433,360.5211,374.1628,374.506,400.35492,516.62964,487.27032
Malta,MLT,,,,,,,,,174.0,,,,,,
Martinique,MTQ,,,,,,,,181.0,,192.0,,,174.0,124.0,
Mauritania,MRT,721.664,544.5125,473.13333,468.52777,640.5263,583.42426,347.3889,488.84525,546.81635,670.2327,603.36664,575.78644,600.6067,945.62036,771.2804
Mauritius,MUS,265.33334,206.33333,251.85715,,191.5,180.0,153.66667,244.0,303.0,197.0,202.25,,243.33333,280.25,
Mayotte,MYT,,268.0,,,169.0,,,,,,,,,218.0,
Mexico,MEX,399.88547,378.7021,303.34576,306.6637,346.33313,407.395,382.71063,405.26666,363.59897,374.8128,333.16336,316.548,489.49268,345.01913,262.95303
Micronesia (country),FSM,,,,,245.5,,,,,,,,,,
Moldova,MDA,194.63934,196.81294,210.32042,213.21118,214.45992,202.87074,164.56097,194.06061,171.95161,210.20879,180.36932,208.43333,184.86667,176.52174,290.66666
Mongolia,MNG,1245.9181,712.3836,857.3777,1302.2947,636.8383,805.25806,790.47296,691.1894,443.2157,419.78873,738.4186,1075.698,559.783,677.9251,765.9365
Montenegro,MNE,551.6322,311.0,169.4,412.4592,276.30768,634.8986,359.75,308.12122,316.34647,932.28125,424.97333,,508.31915,503.4035,337.72726
Montserrat,MSR,,,,,,,,,301.0,,,,,,
Morocco,MAR,543.5682,284.85294,236.83333,240.73077,394.2973,322.28946,199.0,370.2857,462.07895,307.3095,980.6739,452.53192,223.0,275.29166,
Mozambique,MOZ,406.61487,425.27145,419.80392,395.69913,413.44977,407.40472,373.58008,400.9087,397.16415,395.39453,421.42838,384.32025,387.50677,488.06375,299.39072
Myanmar,MMR,419.14557,407.45395,417.55923,399.99774,382.3424,387.69128,352.74847,385.2371,391.60672,404.4845,341.77667,424.12598,422.4382,407.1447,617.49396
Namibia,NAM,957.25287,756.53986,549.29535,696.87177,686.4168,667.54486,629.4251,691.17944,759.0055,747.1027,718.26904,713.55396,624.08826,946.4034,291.89285
Nepal,NPL,425.25394,417.89584,407.73962,333.49667,486.66837,489.0282,389.12534,531.75806,327.08057,433.7025,427.8837,372.36273,325.74414,331.54358,504.96164
Netherlands,NLD,,197.0,363.66666,139.0,,,183.0,214.5,653.5,105.0,175.0,174.0,138.0,134.0,362.8
New Caledonia,NCL,219.4,319.35135,274.21054,301.76923,283.87656,324.01315,223.79488,401.49286,229.8421,259.68604,149.63333,291.3846,348.16455,429.0,270.5
New Zealand,NZL,192.3561,209.39726,215.02213,212.54222,199.5989,229.47552,187.42554,223.86284,219.45087,210.27058,207.40384,231.74467,227.23077,218.85246,215.0921
Nicaragua,NIC,289.06317,307.44968,309.63864,294.5691,334.54373,301.76895,308.87762,325.28906,312.3878,264.26086,293.28278,266.1961,399.1204,240.35664,241.6436
Niger,NER,464.80435,404.46796,441.66165,495.89856,505.90652,445.50153,415.10037,397.65665,407.6083,476.2129,448.84647,421.56744,616.7362,657.6136,507.5691
Nigeria,NGA,341.7464,343.78458,351.8766,353.5122,386.06625,367.07208,347.7054,357.29965,365.05356,380.21094,363.22412,387.2187,360.9272,457.98996,522.7211
North America,OWID_NAM,428.76184,403.87933,401.94656,424.06256,361.72794,446.47714,428.32138,391.07413,410.2747,461.2208,379.68915,463.69446,531.2984,395.06155,258.3309
North Korea,PRK,261.7444,234.29184,372.63492,479.6401,275.1889,377.69714,309.29788,399.7511,296.71112,241.8,275.3871,268.96875,329.8913,329.44446,458.66666
North Macedonia,MKD,428.56097,287.32468,207.61363,289.7738,250.61539,383.47693,173.85106,354.96753,242.275,361.81082,308.91428,327.19403,740.42737,510.88058,365.22223
Northern Cyprus,OWID_CYN,219.0,158.5,150.0,,,370.0,11.0,,657.5,168.0,915.6667,172.0,267.33334,,
Northern Mariana Islands,MNP,195.66667,278.5,,,208.5,177.5,329.0,284.0,354.0,259.0,,202.0,219.0,208.0,
Norway,NOR,170.0,212.5,146.83333,124.333336,117.5,128.66667,127.9,183.3077,213.0,107.75,133.0,133.66667,195.0,145.5,209.0
Oceania,OWID_OCE,1201.0763,822.309,902.5606,842.72845,711.81726,807.69806,854.22864,1068.0745,682.869,674.0503,723.2937,1096.7079,801.18304,1083.3036,799.1432
Oman,OMN,185.5,240.0,168.0,184.0,199.66667,206.5,128.0,211.66667,144.57143,218.88889,215.57143,,,418.0,243.0
Pakistan,PAK,256.00424,228.35715,235.65099,221.55899,270.0818,247.888,211.82608,231.6947,233.96527,234.51373,268.89853,230.0116,245.8668,312.03973,280.8034
Palau,PLW,,170.0,,,,,173.0,,188.0,,,,,,
Palestine,PSE,48.5,175.3,3.0,214.5,205.0,237.0,,218.09091,238.5625,176.57895,138.8,157.8,213.16667,243.66667,154.0
Panama,PAN,266.7859,264.50937,264.9289,284.45468,320.36566,250.09264,249.78297,307.06473,267.17746,249.99286,238.77777,238.53835,281.05902,194.4491,218.83379
Papua New Guinea,PNG,330.37738,313.93692,356.06296,390.08783,305.2069,315.4383,312.07047,323.18213,295.93265,277.89948,300.64746,381.4007,304.54324,306.61652,313.11243
Paraguay,PRY,398.84808,410.85687,402.53656,389.37576,377.897,426.48282,356.90814,423.36108,515.41455,475.1835,436.26895,470.58832,445.57086,376.67932,401.1439
Peru,PER,292.7739,292.01892,277.18414,280.91528,301.25876,276.819,263.71622,300.72037,279.4595,275.40668,305.05255,276.86176,323.75534,300.2438,275.41238
Philippines,PHL,267.25293,263.33475,267.94272,281.1322,276.2271,288.47287,262.04782,285.29865,261.08676,240.625,262.56427,302.04007,289.96353,256.56012,378.48972
Poland,POL,147.48718,114.545456,155.7,139.7234,139.30435,118.55556,138.57143,134.76315,311.125,115.583336,138.0,163.28572,171.94118,161.14815,289.06668
Portugal,PRT,426.51962,461.50748,275.4353,328.93854,685.0559,733.62134,521.58826,300.17792,495.7787,275.75372,532.1921,385.14706,1342.992,1325.6575,333.45044
Puerto Rico,PRI,249.25,404.33334,279.2857,254.66667,221.5,205.6,251.5,251.7,,275.66666,196.71428,165.75,313.66666,250.33333,186.66667
Qatar,QAT,104.666664,110.181816,113.63158,110.5,112.22727,111.84615,108.3,108.47369,111.0,,,,,,
Reunion,REU,,288.0,416.5,963.8182,479.0,508.3684,1033.8572,938.7273,1426.8334,1318.25,1224.0,727.6,,,2006.0
Romania,ROU,234.14844,234.29167,229.23569,241.00943,262.41568,234.39903,164.36983,238.82074,266.11765,257.25998,236.76837,220.65027,244.36923,272.74878,268.21277
Russia,RUS,634.2707,469.96646,448.7002,453.9297,630.32214,429.51535,525.86035,545.3682,520.0007,722.8962,468.3624,579.7747,701.5707,560.6955,473.16632
Rwanda,RWA,406.375,380.0873,546.8387,487.7158,355.84872,410.0351,396.83334,371.9565,402.03333,410.02084,467.55768,394.79413,401.5111,315.93332,406.0
Saint Kitts and Nevis,KNA,,202.0,193.33333,200.0,,315.0,258.0,195.0,170.0,,513.0,,,140.0,151.33333
Saint Lucia,LCA,,,,235.0,,,,,177.0,,,,,,
Saint Vincent and the Grenadines,VCT,,,,,,,,,245.0,214.25,,,,,
Sao Tome and Principe,STP,369.0,,,,,,,280.5,225.0,,,,234.0,207.66667,
Saudi Arabia,SAU,291.5862,264.76315,242.7561,246.97223,269.4138,230.4375,215.21428,263.1,259.7037,223.36957,381.26923,242.03226,266.35715,359.22223,314.25
Senegal,SEN,398.76178,410.20782,441.92715,427.94427,428.00894,448.39005,391.31943,428.86972,450.76352,427.62094,462.07034,445.03333,435.62936,515.47906,717.14844
Serbia,SRB,276.12448,220.544,209.03847,209.74026,210.82,238.53125,213.37282,302.91534,204.42554,225.07097,199.90225,236.44698,346.4456,252.10828,292.05554
Sierra Leone,SLE,438.0759,384.59164,409.86197,440.16028,384.41983,384.59027,350.06305,365.9779,346.6148,317.86533,345.2471,358.83337,345.16272,345.91513,463.50623
Slovakia,SVK,239.36363,158.0,137.9,160.33333,219.5,163.75,158.2,142.5,130.4,,128.90909,125.0,,123.0,176.0
Slovenia,SVN,232.0,170.0,,,478.0,311.66666,,163.0,,,315.66666,77.0,207.0,143.0,353.5
Solomon Islands,SLB,240.38461,135.0,195.5,258.375,205.33333,178.5,142.25,206.85715,199.83333,189.4,204.10527,195.07692,209.0,215.0,
Somalia,SOM,366.05194,416.8232,292.1868,284.0606,275.33334,233.54054,190.64285,313.2097,292.51852,275.15475,242.8372,259.09375,273.74,268.8889,300.55554
South Africa,ZAF,412.56363,402.34622,413.4732,400.6342,396.16873,424.9857,374.42758,390.24158,362.30258,388.93454,398.64673,425.3504,413.7693,419.20895,476.98764
South America,OWID_SAM,476.2067,382.35938,410.2924,436.466,435.55392,478.52213,355.4304,489.7327,486.82715,461.37613,447.31326,417.88477,615.4364,443.0076,383.1665
South Korea,KOR,272.25,251.53334,539.1429,320.45456,328.58334,536.4375,375.33334,347.6842,314.76,184.5,1267.9286,412.3846,42.0,1752.2894,315.13333
South Sudan,SSD,614.1652,575.0662,597.5005,583.5895,593.4216,552.5422,507.41058,544.1349,521.6942,523.27515,499.21765,490.86447,528.2214,673.5567,690.95233
Spain,ESP,499.65195,276.70224,254.14497,367.77216,361.45203,375.39938,222.23529,329.64896,339.85162,455.475,709.939,436.82608,305.36322,1065.5825,366.76556
Sri Lanka,LKA,268.0152,290.44867,287.97165,266.10184,265.556,239.69725,245.13586,264.0056,222.52,238.55714,260.35355,264.00626,289.8889,248.93407,570.1539
Sudan,SDN,475.54285,427.4822,438.88037,430.78018,460.13,444.38974,343.1619,418.6507,415.20193,407.25845,378.29855,394.48788,399.04483,542.1333,508.86896
Suriname,SUR,375.06494,327.98245,288.224,303.9899,306.52298,317.25882,201.54146,329.77536,292.79593,245.2069,289.9762,278.72638,494.60562,266.50278,418.84616
Svalbard and Jan Mayen,SJM,,,,,,101.0,,,,,,,,,
Sweden,SWE,150.92308,134.85715,607.7647,146.3,161.58333,164.45454,521.1539,159.6875,287.80356,166.18182,135.0,181.16667,138.85715,215.57143,118.5
Switzerland,CHE,,,,81.0,252.5,90.333336,80.25,13.0,160.0,100.0,370.0,380.0,,,
Syria,SYR,428.66464,258.5457,245.18706,282.9571,251.51501,255.18857,193.40642,294.56418,297.9947,188.54167,194.56667,267.4516,247.7529,549.56177,196.625
Taiwan,TWN,151.0,217.5,245.2,243.55556,182.5,176.0,199.0,162.75,189.42857,201.5,196.0,264.55554,166.0,281.0,263.66666
Tajikistan,TJK,246.72728,386.8611,292.31033,180.3158,238.25926,237.82353,249.625,241.64285,253.68182,210.73685,237.35715,197.63637,245.875,243.0,287.25
Tanzania,TZA,404.08685,404.32867,389.34683,413.29016,415.85352,404.3741,348.06314,414.44662,415.0069,400.62714,376.1995,371.39694,376.57718,447.78476,311.22223
Thailand,THA,384.82358,365.4198,366.49487,350.4341,391.40106,352.78696,376.39984,392.2102,402.79468,382.5596,282.52972,419.1017,427.85236,404.0008,827.68964
Togo,TGO,317.01025,303.4195,311.98557,313.78754,321.0353,304.20715,303.03342,315.74182,301.49405,318.34558,315.49677,309.31674,308.87814,381.84525,465.5411
Trinidad and Tobago,TTO,235.66667,257.77777,323.2353,225.57143,398.92,285.58334,239.85715,300.58334,255.03125,156.0,201.0,250.25,370.26315,138.44444,209.60785
Tunisia,TUN,248.26582,540.46155,375.01205,409.48837,411.30304,549.47144,205.7,304.37256,360.0263,625.07574,379.3793,325.15152,257.6154,278.0238,163.0
Turkey,TUR,316.43228,296.5534,296.8201,321.5329,310.66998,305.21335,253.08412,266.91574,273.12973,383.5164,256.59024,239.95459,257.3512,376.56827,311.77194
Turkmenistan,TKM,221.04297,214.81003,218.62564,215.3159,223.35974,179.5192,159.18616,263.7113,218.78526,189.37314,176.02747,208.23932,194.88524,220.74774,298.04443
Turks and Caicos Islands,TCA,,,,,,,190.0,,239.0,,,102.0,205.0,299.0,
Uganda,UGA,392.29364,372.52014,344.0292,369.89,371.3275,394.02618,325.0021,356.68115,359.92834,347.1534,335.0742,330.62357,320.0775,412.3805,469.32214
Ukraine,UKR,216.389,211.5,234.22343,238.12807,225.30853,243.69897,188.76834,228.39745,259.99905,209.87247,239.8114,243.69138,275.83044,261.41107,294.375
United Arab Emirates,ARE,146.0,,116.0,150.71428,116.0,116.0,137.0,24.0,175.0,,161.5,,119.5,243.0,
