Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2016-17,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,56,54,na,na,..,na,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,52,10,na,na,..,na,,na
9A.4,2016-17,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,42,2,na,na,..,na,,na
9A.4,2016-17,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,909,277,579,106,88,11,20,31,,2021
9A.4,2016-17,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1664,919,1071,320,250,67,79,66,,4435
9A.4,2016-17,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,2223,744,1358,358,321,119,114,71,,5307
9A.4,2016-17,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1681,967,1123,334,358,90,113,43,,4708
9A.4,2016-17,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,383,197,252,61,86,14,19,10,,1022
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6859,3102,4383,1178,1103,301,345,221,,17491
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.2,na,3.8,2.2,na,4,3,na,,1.4
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,5.9,2.2,8.2,2.1,1.6,4,3.2,7.7,,5.2
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,66716,35263,14089,20076,10642,3894,1353,572,,152605
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,6486,20896,21942,2335,3099,809,0,0,,55567
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,73202,56159,36031,22411,13741,4703,1353,572,,208172
9A.4,2016-17,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,939,900.6,737.9,872.2,799.1,901,330.9,232.5,,853.7
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Permanent,,,,State and territory governments (unpublished),no.,3448,3742,2271,964,868,304,354,207,,12158
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Part-time and other,,,,State and territory governments (unpublished),no.,627,661,206,0,22,0,0,52,,1568
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Other,,,,State and territory governments (unpublished),no.,12,524,92,146,0,0,0,0,,774
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Total,,,,Derived from State and territory governments (unpublished),no.,4088,4927,2569,1110,890,304,354,259,,14500
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Proportion of total FTE staff,,,,Derived from State and territory governments (unpublished),%,75.3,74.2,85,71.8,82.1,69,75.8,93.2,,76.7
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,53.3,80.9,53.5,43.6,52.2,58.9,88.7,106.1,,60.5
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Support staff,,,,,State and territory governments (unpublished),no.,1344,1715,453,435,194,137,113,19,,4410
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Total fire service workforce,,,,,Derived from State and territory governments (unpublished),no.,5432,6642,3022,1545,1084,441,467,278,,18910
9A.4,2015-16,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,1431,949,na,..,na,..,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,560,51,na,na,na,..,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,379,100,na,na,..,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,na,41,8,na,na,..,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,22,3,na,na,..,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,48,48,na,..,na,..,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,59,23,na,na,na,..,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,56,53,na,na,..,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,na,54,9,na,na,..,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,39,4,na,na,..,na,,na
9A.4,2015-16,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,930,257,614,114,78,14,26,41,,2073
9A.4,2015-16,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1662,811,1058,323,250,66,83,86,,4339
9A.4,2015-16,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,2252,726,1394,346,337,122,111,83,,5371
9A.4,2015-16,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1627,972,1124,315,381,86,122,39,,4665
9A.4,2015-16,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,362,170,252,44,103,16,12,10,,969
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6832,2935,4442,1141,1149,304,354,259,,17416
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.4,na,4,1.4,na,1.3,2.5,na,,na
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,6.1,2.4,7.7,1.3,na,1.3,2.5,5.8,,na
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,79221,35585,14217,20492,10828,4035,1444,296,,166118
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,9998,21629,21806,2429,3140,1058,0,0,,60060
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,89219,57214,36023,22921,13968,5093,1444,296,,226178
9A.4,2015-16,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,1163,939,749.7,899.7,818.8,987.5,362,121.3,,943
