Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6834,3843,4774,1202,1269,348,437,232,,18939
9A.4,2023-24,Human resources,All ages,Males,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6019,3635,4349,1121,1183,322,400,204,,17233
9A.4,2023-24,Human resources,All ages,Females,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,813,208,425,80,85,25,37,21,,1694
9A.4,2023-24,Human resources,All ages,Other,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,2,0,na,1,1,1,0,7,,12
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,6834,3843,4774,1201,1269,348,437,232,,18938
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.8,1.4,5.2,6.4,5.6,3.7,5.9,2.1,,2.9
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,7.7,2.3,6.8,6.2,5,3.7,6.2,2.2,,5.9
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,67569,28906,10971,12846,11144,3777,1024,275,,136512
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,8035,23043,16411,2197,1977,866,0,0,,52529
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,75604,51949,27382,15043,13121,4643,1024,275,,189041
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS National state and territory population - December,rate,896.3,752.2,495.3,513.8,703,807.9,217.8,108.4,,701
9A.4,2023-24,Human resources,All ages,Males,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,53174,39498,19980,11534,10352,3719,na,188,,138445
9A.4,2023-24,Human resources,All ages,Females,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,14359,12415,7402,3494,2758,598,na,87,,41113
9A.4,2023-24,Human resources,All ages,Other,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,18,36,na,15,11,na,na,0,,80
9A.4,2023-24,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters by gender,,,,,State and territory governments (unpublished),no.,67551,51949,27382,15043,13121,3777,na,275,,179098
9A.4,2023-24,Human resources,<30 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,8584,8031,2670,1811,2687,656,na,66,,24505
9A.4,2023-24,Human resources,30-39 years old,All people,All people,All areas,,,Volunteers (headcount),Firefighters by age group,,,,,State and territory governments (unpublished),no.,9551,7517,3504,2388,2171,750,na,68,,25949
