longitude,latitude,year,count,avg_frp,total_frp,pct_night,pct_high_intensity
132.75,-31.25,2020,12,126.2,1514.4,0.0,16.7
132.75,-30.75,2020,6,60.1,360.4,0.0,0.0
132.75,-14.25,2020,1,98.9,98.9,0.0,0.0
132.75,-13.75,2020,4,74.0,296.1,0.0,0.0
132.75,-12.75,2020,5,60.0,300.1,0.0,0.0
132.75,-12.25,2020,7,97.5,682.8,0.0,0.0
132.75,-11.75,2020,7,69.4,485.6,0.0,0.0
133.25,-16.75,2020,9,128.1,1153.3,0.0,0.0
133.25,-14.75,2020,1,58.9,58.9,0.0,0.0
133.25,-14.25,2020,4,58.2,232.6,0.0,0.0
133.25,-13.75,2020,1,86.4,86.4,0.0,0.0
133.25,-13.25,2020,1,59.8,59.8,0.0,0.0
133.25,-12.75,2020,3,136.5,409.5,0.0,33.3
133.25,-12.25,2020,4,72.0,288.1,0.0,0.0
133.25,-11.75,2020,15,96.6,1449.5,0.0,0.0
133.75,-15.75,2020,1,79.3,79.3,0.0,0.0
133.75,-15.25,2020,1,86.8,86.8,0.0,0.0
133.75,-13.75,2020,3,80.3,241.0,0.0,0.0
133.75,-13.25,2020,2,75.3,150.7,0.0,0.0
133.75,-12.75,2020,11,89.6,985.5,0.0,0.0
133.75,-12.25,2020,8,86.5,692.1,0.0,0.0
133.75,-11.75,2020,12,140.4,1685.1,0.0,33.3
134.25,-14.25,2020,1,53.0,53.0,0.0,0.0
134.25,-13.75,2020,6,99.9,599.7,0.0,0.0
134.25,-12.75,2020,1,54.3,54.3,0.0,0.0
134.25,-12.25,2020,10,80.8,808.1,0.0,10.0
134.75,-20.25,2020,3,90.0,269.9,0.0,0.0
134.75,-14.75,2020,1,190.4,190.4,0.0,0.0
134.75,-13.75,2020,5,145.5,727.7,0.0,0.0
134.75,-13.25,2020,2,60.6,121.2,0.0,0.0
134.75,-12.25,2020,4,70.2,281.0,0.0,0.0
135.25,-15.75,2020,2,110.7,221.4,0.0,0.0
135.25,-14.75,2020,1,65.6,65.6,0.0,0.0
135.25,-13.75,2020,9,123.4,1110.3,0.0,11.1
135.25,-13.25,2020,4,79.7,318.8,0.0,0.0
135.25,-12.75,2020,11,77.6,854.1,0.0,0.0
135.25,-12.25,2020,10,79.8,797.8,0.0,0.0
135.75,-32.25,2020,1,50.4,50.4,0.0,0.0
135.75,-17.25,2020,1,50.8,50.8,0.0,0.0
135.75,-16.75,2020,5,101.6,508.0,0.0,0.0
135.75,-16.25,2020,12,90.6,1087.1,0.0,8.3
135.75,-15.75,2020,3,64.0,192.0,0.0,0.0
135.75,-15.25,2020,2,78.7,157.3,0.0,0.0
135.75,-14.25,2020,6,82.8,497.0,0.0,0.0
135.75,-13.75,2020,19,96.4,1831.2,0.0,0.0
135.75,-13.25,2020,2,55.0,110.0,0.0,0.0
135.75,-12.75,2020,9,78.5,706.3,0.0,0.0
135.75,-12.25,2020,4,87.3,349.2,0.0,0.0
135.75,-11.75,2020,1,69.5,69.5,0.0,0.0
136.25,-16.75,2020,1,75.7,75.7,0.0,0.0
136.25,-16.25,2020,3,91.0,273.0,0.0,0.0
136.25,-15.75,2020,4,108.7,435.0,0.0,0.0
136.25,-14.25,2020,1,55.7,55.7,0.0,0.0
136.25,-13.25,2020,2,65.0,129.9,0.0,0.0
136.25,-12.75,2020,8,82.1,657.0,0.0,0.0
136.75,-36.25,2020,5,92.3,461.6,0.0,0.0
136.75,-35.75,2020,211,142.5,30064.5,0.0,20.9
136.75,-16.75,2020,7,72.1,504.7,0.0,0.0
136.75,-16.25,2020,5,77.5,387.5,0.0,0.0
136.75,-15.75,2020,2,121.3,242.6,0.0,0.0
136.75,-13.75,2020,1,50.2,50.2,0.0,0.0
136.75,-12.25,2020,4,74.8,299.4,0.0,0.0
137.25,-36.25,2020,2,223.0,445.9,0.0,100.0
137.25,-35.75,2020,23,120.1,2761.4,0.0,21.7
137.25,-16.75,2020,2,53.5,106.9,0.0,0.0
137.25,-16.25,2020,105,92.5,9715.4,0.0,2.9
137.75,-17.25,2020,1,50.1,50.1,0.0,0.0
137.75,-16.75,2020,5,67.3,336.6,0.0,0.0
137.75,-16.25,2020,1,124.6,124.6,0.0,0.0
138.25,-35.75,2020,1,60.7,60.7,0.0,0.0
138.25,-33.25,2020,1,83.7,83.7,0.0,0.0
138.25,-19.25,2020,3,87.4,262.2,0.0,0.0
138.25,-17.75,2020,1,150.4,150.4,0.0,0.0
138.25,-16.75,2020,25,92.5,2311.9,0.0,0.0
138.75,-33.75,2020,1,93.0,93.0,0.0,0.0
138.75,-17.75,2020,2,53.2,106.3,0.0,0.0
138.75,-17.25,2020,2,94.2,188.4,0.0,0.0
138.75,-16.75,2020,7,99.9,699.6,0.0,0.0
139.25,-19.25,2020,1,118.2,118.2,0.0,0.0
139.25,-16.75,2020,2,70.2,140.4,0.0,0.0
139.75,-36.25,2020,5,130.4,652.1,0.0,0.0
139.75,-35.75,2020,9,117.7,1058.9,0.0,0.0
139.75,-35.25,2020,2,74.5,149.1,0.0,0.0
139.75,-20.25,2020,6,84.5,506.9,0.0,0.0
139.75,-17.25,2020,3,151.4,454.1,0.0,0.0
140.25,-37.25,2020,1,151.7,151.7,0.0,0.0
140.25,-36.75,2020,10,161.8,1618.5,0.0,40.0
140.25,-22.25,2020,1,81.1,81.1,0.0,0.0
140.25,-21.25,2020,2,122.3,244.6,0.0,0.0
140.25,-20.75,2020,1,81.7,81.7,0.0,0.0
140.75,-37.25,2020,5,151.6,757.8,0.0,40.0
140.75,-36.25,2020,1,111.1,111.1,0.0,0.0
140.75,-21.75,2020,1,67.5,67.5,0.0,0.0
140.75,-21.25,2020,10,95.9,959.1,0.0,10.0
141.25,-37.25,2020,1,50.7,50.7,0.0,0.0
141.25,-36.75,2020,3,165.5,496.4,0.0,33.3
141.25,-36.25,2020,1,117.6,117.6,0.0,0.0
141.25,-35.75,2020,3,106.7,320.0,0.0,0.0
141.25,-18.25,2020,4,62.2,248.9,0.0,0.0
141.25,-17.25,2020,9,129.5,1165.2,0.0,11.1
141.75,-38.25,2020,4,103.6,414.4,0.0,25.0
141.75,-37.25,2020,1,70.5,70.5,0.0,0.0
141.75,-36.75,2020,2,94.5,189.0,0.0,0.0
141.75,-36.25,2020,3,158.4,475.1,0.0,0.0
141.75,-35.75,2020,1,147.8,147.8,0.0,0.0
141.75,-34.75,2020,1,61.1,61.1,0.0,0.0
141.75,-27.25,2020,2,71.8,143.7,0.0,0.0
141.75,-17.75,2020,6,104.6,627.5,0.0,0.0
141.75,-15.75,2020,1,54.9,54.9,0.0,0.0
141.75,-15.25,2020,3,72.0,216.0,66.7,0.0
141.75,-14.25,2020,4,63.5,253.8,0.0,0.0
141.75,-13.25,2020,6,62.0,371.8,0.0,0.0
141.75,-12.75,2020,2,61.4,122.7,0.0,0.0
141.75,-12.25,2020,1,102.2,102.2,0.0,0.0
142.25,-37.75,2020,2,81.7,163.4,0.0,0.0
142.25,-37.25,2020,2,58.7,117.3,0.0,0.0
142.25,-34.25,2020,2,166.7,333.4,0.0,0.0
142.25,-33.75,2020,2,94.4,188.9,0.0,0.0
142.25,-27.25,2020,1,61.2,61.2,0.0,0.0
142.25,-18.25,2020,6,119.3,715.6,0.0,0.0
142.25,-17.75,2020,18,104.3,1877.6,0.0,16.7
142.25,-17.25,2020,2,106.2,212.4,0.0,0.0
142.25,-15.75,2020,4,129.6,518.6,0.0,25.0
142.25,-15.25,2020,1,51.8,51.8,0.0,0.0
142.25,-14.75,2020,3,71.1,213.4,0.0,0.0
142.25,-14.25,2020,13,110.8,1440.7,0.0,7.7
142.25,-13.25,2020,4,89.9,359.5,0.0,0.0
142.25,-12.75,2020,2,56.9,113.7,0.0,0.0
142.25,-11.25,2020,3,89.9,269.7,0.0,0.0
142.75,-38.25,2020,1,118.6,118.6,0.0,0.0
142.75,-37.75,2020,3,100.6,301.7,0.0,0.0
142.75,-37.25,2020,1,61.7,61.7,0.0,0.0
142.75,-36.75,2020,6,74.2,445.5,0.0,0.0
142.75,-33.75,2020,1,103.4,103.4,0.0,0.0
142.75,-28.75,2020,1,75.1,75.1,0.0,0.0
142.75,-18.25,2020,1,66.3,66.3,0.0,0.0
142.75,-17.75,2020,1,82.0,82.0,0.0,0.0
142.75,-17.25,2020,1,130.7,130.7,0.0,0.0
142.75,-16.75,2020,10,76.1,760.7,0.0,0.0
142.75,-16.25,2020,4,65.8,263.1,0.0,0.0
142.75,-15.25,2020,1,54.0,54.0,0.0,0.0
142.75,-14.75,2020,1,66.7,66.7,0.0,0.0
142.75,-14.25,2020,1,129.5,129.5,0.0,0.0
142.75,-13.75,2020,1,56.6,56.6,0.0,0.0
142.75,-13.25,2020,3,114.9,344.8,0.0,0.0
142.75,-12.75,2020,7,96.3,674.1,0.0,0.0
142.75,-12.25,2020,7,95.4,667.5,0.0,0.0
143.25,-38.25,2020,5,217.0,1084.9,0.0,60.0
143.25,-37.75,2020,13,119.8,1557.9,0.0,23.1
143.25,-37.25,2020,1,56.2,56.2,0.0,0.0
